[2026-05-26 17:34:21] [NoticeConsumer] 已处理点赞 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:34:22] [NoticeConsumer] 已处理点赞 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:34:22] [NoticeConsumer] 已处理点赞 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:34:22] [NoticeConsumer] 已处理点赞 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:34:22] [NoticeConsumer] 已处理点赞 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:34:22] [NoticeConsumer] 已处理点赞 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:34:25] [NoticeConsumer] 已处理点赞 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:34:31] [NoticeConsumer] 已处理评论 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:34:41] [NoticeConsumer] 已处理评论 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646, 用户ID: guest
[2026-05-26 17:35:38] [NoticeConsumer] 已删除笔记 - 笔记ID: f4e8c84e-0b91-4105-a36e-701623db2646
